POLAKOMITI, GLAGOL
TELEFONIJE, IMENICA
ANDROMEDIN, PRIDJEV
UKAPAVANJE, IMENICA
RAZDJELJIV, PRIDJEV
NEPORAVNAT, PRIDJEV
PREMLATITI, GLAGOL
POTPREGNUT, PRIDJEV
SPRAVLJENI, PRIDJEV
KORAKNUVŠI, PRILOG
POSTUPNIJI, PRIDJEV
ZATRESAVŠI, PRILOG
OSUJETIVŠI, PRILOG
EKSTATIČKI, PRIDJEV
UZNESENOST, IMENICA
ODAPINJATI, GLAGOL
ANEKTIRATI, GLAGOL
CICIJAŠEĆI, PRILOG
OTPJEVAVŠI, PRILOG
NEULAGANJE, IMENICA
SATURIRATI, GLAGOL
ZAHVALNIJI, PRIDJEV
KAŠTELANOV, PRIDJEV
OBLIJETATI, GLAGOL
OSUŠIVANJE, IMENICA
NAVLAČENJE, IMENICA
MILITARIST, IMENICA
NIZOZEMSKA, PRIDJEV
PRIPREMAJU, PRIDJEV
ZAPILJIVŠI, PRILOG
SAMOZATAJA, IMENICA
PODSJETNIK, IMENICA
SPECIFIKUM, IMENICA
OVJENČAVŠI, PRILOG
INSINUIRAN, PRIDJEV
DOGOTOVITI, GLAGOL
RASIJANOST, IMENICA
RASTEREĆEN, PRIDJEV
PROLAŽENJE, IMENICA
SVRSTAVATI, GLAGOL
GOSPODAROV, PRIDJEV
PREDIKATNI, PRIDJEV
MELIORIRAN, PRIDJEV
RAHIMOVSKI, PRIDJEV
RAZUPIRANI, PRIDJEV
SALUTIRATI, GLAGOL
APOLOGETIK, IMENICA
ZLOĆUDNOST, IMENICA
SUPORTIVAN, PRIDJEV
NEIZDRŽIVI, PRIDJEV
RAGBIJAŠKI, PRIDJEV
ZACVILJETI, GLAGOL
KALUĐERSKI, PRIDJEV
MEĐUOTOČAN, PRIDJEV
DIZARTRIJA, IMENICA
DODJELIVŠI, PRILOG
USREĆIVATI, GLAGOL
BEDNJANSKI, PRIDJEV
KONJUKCIJA, IMENICA
KARBONATNI, PRIDJEV
PRODUŽENJE, IMENICA
POREMETITI, GLAGOL
NEDOSTIŽNO, PRILOG
OPORAVLJEN, PRIDJEV
SAGLEDAVAN, PRIDJEV
POSLODAVAC, IMENICA
LASCIVNIJI, PRIDJEV
BEZGREBENI, PRIDJEV
ANTITEIZAM, IMENICA
RODBINSTVO, IMENICA
SELJANČICA, IMENICA
TISULJEVKA, IMENICA
SVJETLOSIV, PRIDJEV
GOTOVANSKI, PRIDJEV
VALIDIRANI, PRIDJEV
PRELAMANJE, IMENICA
MONOTONIJA, IMENICA
RASCJEPKAN, PRIDJEV
VOJSKOVOĐA, IMENICA
ČESTITAVŠI, PRILOG
SPOKOJSTVO, IMENICA
POTREBNIJI, PRIDJEV
JABUČNJAČA, IMENICA
BADEMOLIKI, PRIDJEV
DERIVACIJA, IMENICA
REMIZIRALA, IMENICA
MARIFETLUK, IMENICA
LIMFOCITNI, PRIDJEV
LJUBAZNICA, IMENICA
PRETJERANO, PRILOG
POLITIČARA, IMENICA
NESLOŽNIJI, PRIDJEV
RADIĆEVSKI, PRIDJEV
ZAVIJENIJI, PRIDJEV
NADIGRAVŠI, PRILOG
ZDROBLJENI, PRIDJEV
PREDRASUDA, IMENICA
LOBAČEVSKI, IMENICA
RASKUŠTRAN, PRIDJEV
UPRAVITELJ, IMENICA
NETRPELJIV, PRIDJEV
PREDOČLJIV, PRIDJEV
IZRAĐENIJI, PRIDJEV
NAGOVORENI, PRIDJEV
VEGETACIJA, IMENICA
PODSJELENI, PRIDJEV
PROPISANJE, IMENICA
OPTERETITI, GLAGOL
KLEVETANJE, IMENICA
NAČITANIJI, PRIDJEV
PRIROĐENJE, IMENICA
ASIMILIRAN, PRIDJEV
PODCRTAVŠI, PRILOG
URTIKARIJA, IMENICA
RECIKLAŽNI, PRIDJEV
PUDLIRANJE, IMENICA
POVUČENOST, IMENICA
POČITAVATI, IMENICA
STARETINAR, IMENICA
PERADARSKI, PRIDJEV
SAMOGASEĆI, PRIDJEV
KOKOŠINJAK, IMENICA
POGREBNINA, IMENICA
MUZICIRATI, GLAGOL
SAŽALJIVAN, PRIDJEV
GNOJNICITI, GLAGOL
CHLADNIJEV, PRIDJEV
KOREDATELJ, IMENICA
HOMOGENIJI, PRIDJEV
MILOSTINJA, IMENICA
GLAGOLJSKI, PRIDJEV
OZNAČIVATI, GLAGOL
RAŠČUPAVŠI, PRILOG
ZAKLOPLJEN, PRIDJEV
ČISTIONICA, IMENICA
POBUNJENIK, IMENICA
PUSTOLOVKA, IMENICA
STOLPOVSKI, PRIDJEV
POLIJEPITI, GLAGOL
RELEVANTAN, PRIDJEV
GRANIČARKA, IMENICA
HEMOPHILUS, IMENICA
MARSIJANKA, IMENICA
ĐORĐIEVSKI, PRIDJEV
SVEJEDNAKO, PRILOG
POLUBAJTNI, PRIDJEV
SIMFONIČAR, IMENICA
DAROPRIMAC, IMENICA
AGRAMERSKI, PRIDJEV
NALIJEĆUĆI, PRILOG
AEROSNIMAK, IMENICA
SUPLEMENIK, IMENICA
PRIKRATIJA, IMENICA
BOGORADEĆI, PRIDJEV
PROMUĆURAN, PRIDJEV
KVISKOTEKA, IMENICA
PRAVODOBAN, PRIDJEV
PROTUMJERA, IMENICA
NATURIVATI, GLAGOL
PLISIRANJE, IMENICA
AUTISTIČKI, IMENICA
MAROKANSKI, PRIDJEV
POSTUPANJE, IMENICA
NASTAJANJE, IMENICA
PROČELNICA, IMENICA
NADUVENIJI, PRIDJEV
PROSUĐIVAČ, IMENICA
OPASAVANJE, IMENICA
ODBAČENOST, IMENICA
OKULTIRATI, GLAGOL
KUVAJĆANKA, IMENICA
LOPOVŠTINA, IMENICA
BOŽINOVSKI, PRIDJEV
ZASTRAŠITI, GLAGOL
VRAČBINSKI, PRIDJEV
ZAŠARAFITI, GLAGOL
PRIJEVOZAN, PRIDJEV
SLIKARSTVO, IMENICA
ZAGOLICATI, GLAGOL
ZAKUCAVATI, GLAGOL
HIDROKINON, IMENICA
NEARKONSKI, PRIDJEV
ŽARKOCRVEN, PRIDJEV
KLIPOVANJE, IMENICA
AMONIJAKOV, PRIDJEV
POLOŽENIJI, PRIDJEV
BAŽDARIVŠI, PRILOG
STRASTVENO, PRILOG
ZLATONOSAN, PRIDJEV
KOLIČINSKI, PRIDJEV
RAZVRSTANO, PRILOG
SOLUNJANIN, IMENICA
GLAVINJATI, GLAGOL
LAKOMISLEN, PRIDJEV
BRUSIONICA, IMENICA
PRENAKRCAN, PRIDJEV
MALJUŠNOST, IMENICA
DRZOVITIJI, PRIDJEV
RASPROSTRA, IMENICA
GRČEVITIJI, PRIDJEV
SREDOZEMNI, PRIDJEV
IZVRTJEVŠI, PRILOG
NEŽIDOVSKI, PRIDJEV
NARUŠAVATI, GLAGOL
NAŠTELAVŠI, PRILOG
KOLJENASTI, PRIDJEV
MONOGENEZA, IMENICA
NABREKAVŠI, PRILOG
POLIRAJUĆI, PRIDJEV
JAJOLIKOST, IMENICA
PREKRSTITI, GLAGOL
PRAVEDNIJI, PRIDJEV
PRVOSTEPEN, IMENICA
ZATRPANIJI, PRIDJEV
LJUBIČASTA, IMENICA
UTRNJIVATI, GLAGOL
MELODIOZNO, PRILOG
POVIKIVATI, GLAGOL
BRBLJARIJA, IMENICA
DRIJEMOVAC, IMENICA
LUNEBERGOV, PRIDJEV
PENDULARNI, PRIDJEV
IZRIČITIJE, PRILOG
NEODJEVENI, PRIDJEV
ZATVORIVŠI, PRILOG
POČINITELJ, IMENICA
POTPOMOGAN, PRIDJEV
NESMJENJIV, PRIDJEV
SLJEPOTATI, GLAGOL
DEVETAJUĆI, PRILOG
LARINGITIS, IMENICA
PARABOLOID, IMENICA
STALOŽENJE, IMENICA
BACKGAMMON, IMENICA
PRIMATELJI, PRIDJEV
MRMLJAJUĆI, GLAGOL
STRIJELJAN, PRIDJEV
VIZITKARTA, IMENICA
BRAZDAJUĆI, PRILOG
ODZDRAVITI, GLAGOL
VJENČAJUĆI, GLAGOL
PEDOGENEZA, IMENICA
SUSTIGAVŠI, PRILOG
PRIDRUŽENO, PRILOG
PULPALGIJA, IMENICA
ČEPRLJANJE, IMENICA
MANDUŠEVAC, IMENICA
VIBROSTROJ, IMENICA
GLALAKSIJA, IMENICA
MIMOLAZEĆI, IMENICA
OPREPLETEN, PRIDJEV
IZGRADIVŠI, PRILOG
POSLOVANJE, IMENICA
NEVJEŠTOST, IMENICA
RASPIRIVAN, PRIDJEV
PERIGLOTIS, IMENICA
PRODUŽIVAČ, IMENICA
PROLETERKA, IMENICA
NAJDIVNIJI, PRIDJEV
KATASTROFA, IMENICA
OBAVJEŠTEN, PRIDJEV
POZADINSKI, PRIDJEV
HISPANIZAM, IMENICA
BULEVARSKI, PRIDJEV
LEBESGUEOV, PRIDJEV
ZAGUŠLJIVO, IMENICA
CIKLOALKAN, IMENICA
NAJKOVKIJI, PRIDJEV
TONIZACIJA, IMENICA
LIMFATIČAN, PRIDJEV
SERVIRAVŠI, PRILOG
POVRIJEĐEN, PRIDJEV
PALETIRATI, IMENICA
PROVEDRICA, IMENICA
KURVIMETAR, IMENICA
SPORADIČAN, PRIDJEV
EKSPRESIJI, PRIDJEV
TRIHOTECEN, IMENICA
ČANGRIZALO, IMENICA
JURIŠNIČKI, PRIDJEV
LEŠINARSKI, PRIDJEV
ERGONOMIJA, IMENICA
FALSIFIKAT, IMENICA
NEZNALAČKI, PRIDJEV
PRAVLJENJE, IMENICA
OROFARINKS, IMENICA
OVJERAVATI, GLAGOL
DEKLASIRAN, PRIDJEV
ELUVIJALNI, PRIDJEV
SPOROVOZAN, PRIDJEV
ZAKRIJEŠTA, IMENICA
VOZARINSKI, PRIDJEV
SRAMOTILAC, IMENICA
DOIGRAVATI, GLAGOL
OBILJEŽENO, PRILOG
SAPUNJANJE, IMENICA
DIOPTRIČKI, PRIDJEV
NEŠIFRIRAN, PRIDJEV
TANZANIJAC, IMENICA
PREMRIJETI, GLAGOL
POLIGLIKOL, IMENICA
OBEZNANITI, GLAGOL
RANGIRAVŠI, IMENICA
PREVARIVŠI, PRILOG
NEPRECIZAN, PRIDJEV
BEZOBRAZAN, PRIDJEV
NAJBITNIJE, PRIDJEV
SKENIRAVŠI, PRILOG
BJELOREPKA, IMENICA
ANTROPONIM, IMENICA
LJEŠNJACOJ, IMENICA
DISLOCIRAN, PRIDJEV
PROKRVLJEN, PRIDJEV
SPIRAMICIN, IMENICA
CRNOBIJELA, IMENICA
ROGOZNIČKI, PRIDJEV
DOLIJEVATI, GLAGOL
KAOTIČNIJI, PRIDJEV
PRIJEDLOZA, IMENICA
ZAROTIRATI, GLAGOL
ZDRUŽENOST, IMENICA
USAMLJENIK, IMENICA
PRETVARATI, GLAGOL
ZLOKOBNIJE, PRILOG
AMELOGENIN, IMENICA
LJILJANSKI, PRIDJEV
LAKIRAJUĆI, GLAGOL
EVOLUTIVNI, PRIDJEV
PROMAŠIVŠI, PRILOG
PESKARENJE, IMENICA
IZNUĐUJUĆI, PRILOG
IŠČEKIVALA, IMENICA
RASPRSNEJA, IMENICA
FORVARDERI, IMENICA
POSUSTAVŠI, PRILOG
PSEUDOGLEJ, IMENICA
NASLOVLJIV, PRIDJEV
DALMATINAC, IMENICA
SASTOJNICA, IMENICA
BRODOLOMNI, IMENICA
HEKTOMETAR, IMENICA
IZNURIVATI, GLAGOL
ZACIJENJEN, PRIDJEV
SINKRONOST, IMENICA
OPSLUŽIVAČ, IMENICA
UVALJIVATI, GLAGOL
VJEŽBENICA, IMENICA
POGRANIČNI, PRIDJEV
STANDARDAN, PRIDJEV
VISINOMJER, IMENICA
OPUŠTENOST, IMENICA
ILUZORNOST, IMENICA
OBOLJELOST, IMENICA
CENTRACIJA, IMENICA
NACILJAVŠI, PRILOG
POLISORBAT, IMENICA
SAGIBLJUĆI, PRILOG
KLIJENTURA, IMENICA
ZAGRADIVŠI, PRILOG
NADLANIČAN, PRIDJEV
ANTITETSKI, PRIDJEV
MIKROVALNI, PRIDJEV
DISCIPLINA, IMENICA
TRPEZARIJA, IMENICA
KLJUČANICA, IMENICA
KORUPTIVAN, PRIDJEV
PREBIRANJE, IMENICA
BRAKOMRZAC, IMENICA
DRANGULIJI, PRIDJEV
NAZIVAJUĆI, PRIDJEV
POMIRENOST, IMENICA
ERODIRAVŠI, PRILOG
ODUPRIJETI, GLAGOL
IZGLEDAVŠI, PRILOG
POLUFINALE, IMENICA
ISČEZAVATI, GLAGOL
DISOCIRATI, GLAGOL
ZAOŠTRAVAN, PRIDJEV
MEĐUPRSTEN, IMENICA
ZANEMARENI, PRIDJEV
RAZGRABITI, GLAGOL
MOLJAKANJE, IMENICA
RESTORATER, IMENICA
SVJETLUCAV, PRIDJEV
PRIJAVIVŠI, PRILOG
TABUIZIRAN, PRIDJEV
NAJUČENIJI, PRIDJEV
VIJUGAVOST, IMENICA
INTERNIRAC, IMENICA
SALICILATI, IMENICA
KUKULJASTI, PRIDJEV
NALAŠTIVŠI, PRILOG
INKARNIRAN, PRIDJEV
SVEUČILIŠT, PRIDJEV
ISPROBAVŠI, PRILOG
NEVJERNIJI, PRIDJEV
NAPUČUJUĆI, PRILOG
NEUDOBNOST, IMENICA
BATAVIJSKI, PRIDJEV
ZAGUŠENOST, IMENICA
DIJELETATI, PRIDJEV
ASEKSUALAN, PRIDJEV
BRATINSTVO, IMENICA
ALUMINATAN, PRIDJEV
LOPTANJITI, GLAGOL
ISUŠIVANJE, IMENICA
NATRESKATI, GLAGOL
FILATELIJA, IMENICA
NEHMELJIVI, PRIDJEV
GENITALIJE, IMENICA
AVANGARDNI, PRIDJEV
PREBACIVAN, PRIDJEV
VILJEMOVKA, IMENICA
AKTINIDIJA, IMENICA
BESISTIČKI, IMENICA
KOMESARSKI, PRIDJEV
OKUPIRANJE, IMENICA
IZRAŽAVATI, GLAGOL
SAMOGASIVI, PRIDJEV
BROŠIRAVŠI, PRILOG
BONDIRANJE, IMENICA
PROSPOJNIK, IMENICA
KROPIONICA, IMENICA
SMRTONOSNO, PRILOG
DOBACUJUĆI, PRILOG
OSTVARLJIV, PRIDJEV
RASKUŠTRAT, IMENICA
PRIVATNOST, IMENICA
POGOVORITI, GLAGOL
PUMPAONICA, IMENICA
TOMISLAVOV, PRIDJEV
NAJBLAGATI, GLAGOL
NAVOŠTIVŠI, PRILOG
ODJAVLJENI, PRIDJEV
DRAŽESNIJI, PRIDJEV
KUPLJENSKI, PRIDJEV
VIŠESTRANI, PRIDJEV
FOTOKEMIJA, IMENICA
SVIJEĆNICA, IMENICA
USTUKNUVŠI, PRILOG
AMONIJAČAN, PRIDJEV
PREOTVOREN, PRIDJEV
KALCINIRAN, PRIDJEV
KOAGULATOR, IMENICA
HISTORIČKI, PRIDJEV
FORENZIČAR, IMENICA
GUŠTERAČIN, PRIDJEV
USVAJAJUĆI, PRIDJEV
POBUDLJIVO, PRILOG
LETARGIČAR, IMENICA
NEHRVATSKI, PRIDJEV
IZOLIRANJE, IMENICA
POMAGAČICA, IMENICA
KOLIZIJSKI, PRIDJEV
MIKROKLIMA, IMENICA
SKAKAONICA, IMENICA
NABREKNEJA, IMENICA
POKLOPLJEN, PRIDJEV
RESIDUALAN, PRIDJEV
MOREPLOVNI, IMENICA
PROGUNĐATI, GLAGOL
BLISTAVOST, IMENICA
ZASIĆUJUĆI, PRIDJEV
RAZNOSILAC, IMENICA
PREPADANJE, IMENICA
EVENTUALNO, PRILOG
KREIRAJUĆI, PRILOG
BRZOJAVITI, GLAGOL
PENTAMETAR, IMENICA
POJAČANIJI, PRIDJEV
POTKIVAČKI, PRIDJEV
ADJUNGIRAN, PRIDJEV
SILIKONSKI, PRIDJEV
PUNOMOĆNIK, IMENICA
UPOZORENJE, IMENICA
PJEŠADINAC, IMENICA
NADOMJESAK, IMENICA
NAŽULJANJE, IMENICA
OMALOVAŽEN, PRIDJEV
PRERADBENI, PRIDJEV
DIMETOKSAN, IMENICA
SAMOUREZNI, PRIDJEV
POVREDLJIV, PRIDJEV
PERZIJANKA, IMENICA
UTOVARIVAN, PRIDJEV
RASKOŠNOST, IMENICA
RASPLODITI, GLAGOL
PRIRODNIJI, PRIDJEV
SEKRETORNI, PRIDJEV
PRIČEKAVŠI, PRILOG
POVLASTICA, IMENICA
MONDINIJEV, PRIDJEV
TRANZICIJA, IMENICA
MITINGAŠKI, PRIDJEV
POLUKRUŽNI, PRIDJEV
ASPARTAMID, IMENICA
RAZNODOBAN, PRIDJEV
GRADILIŠTE, IMENICA
ISKUHAVATI, GLAGOL
PREKORAČEN, PRIDJEV
JEDNOBOJNI, PRIDJEV
AFINITETNI, PRIDJEV
GRUNDIRATI, GLAGOL
SVETKOVAMO, PRILOG
OPUŠTAJUĆI, PRIDJEV
NEPODVUČEN, PRIDJEV
PREKUHANJE, IMENICA
GRADUIRATI, GLAGOL
PSIHOMETAR, IMENICA
KAOLIRANJE, IMENICA
ISPOSLOVAN, PRIDJEV
REPARIRATI, GLAGOL
NABACANOST, IMENICA
TAMNOMODAR, PRIDJEV
FINANACIJA, IMENICA
BADEMOVAČA, IMENICA
VISKOZNOST, IMENICA
DOMINIRATI, GLAGOL
BEŠTIMAVAN, PRIDJEV
ZAGLAVIVŠI, PRILOG
RAZDAVANJE, IMENICA
KOLIMACIJA, IMENICA
LOMBARDIJA, IMENICA
PARNOFAZNI, PRIDJEV
METIDATION, IMENICA
PREŽDERATI, GLAGOL
KRITIČARKI, PRIDJEV
PROTUFAZAN, PRIDJEV
OKLOPNIČKI, PRIDJEV
KALORIJSKI, PRIDJEV
BEZOSTATAN, PRIDJEV
DODIJELITI, GLAGOL
ANTONIMIJA, IMENICA
USTRAVLJEN, PRIDJEV
RELATIVIST, IMENICA
OPIPAVANJE, IMENICA
ZAMIJENITI, GLAGOL
PREREZAVŠI, PRILOG
FEFERONČIĆ, IMENICA
ISPRAVLJAN, PRIDJEV
OPOZIVNOST, IMENICA
DEŽURAJUĆI, PRILOG
RASTRGAVŠI, PRILOG
PODBIJANJE, IMENICA
UPALJENOST, IMENICA
KVIJETIZAM, IMENICA
BESPUTNIJI, PRIDJEV
SNJEGOBRAN, IMENICA
NANOFOSILI, IMENICA
FABULACIJA, IMENICA
SPORTSKOST, IMENICA
POBJEDIVŠI, PRILOG
NEDONOŠČAD, IMENICA
UŠMRKAVATI, GLAGOL
MITOMANSKI, PRIDJEV
STIMULIRAN, PRIDJEV
NEPRIKRIVO, PRILOG
INFLACIONI, PRIDJEV
RAZLIJEGAN, PRIDJEV
ISTJERIVAN, PRIDJEV
PRIDIJEVAN, PRIDJEV
DETONACIJA, IMENICA
PODSEGMENT, IMENICA
OJASTUČENI, PRIDJEV
IKONOKLAST, IMENICA
ODSTRANJEN, PRIDJEV
LAUREATSKI, PRIDJEV
PLINIZIRAN, PRIDJEV
TERCIJARNI, PRIDJEV
UMIŠLJANJE, IMENICA
KANDIDATOV, PRIDJEV
MARENDAVAN, PRIDJEV
DINATRIJEV, PRIDJEV
LISTERIOZA, IMENICA
KORENOVSKI, PRIDJEV
STAPAJNICA, IMENICA
UPRAVLJAČA, PRIDJEV
POCRKAVATI, GLAGOL
DOPREMANJE, IMENICA
INSTRUMENT, IMENICA
EKSTROVERT, IMENICA
SMEŽURAVŠI, PRILOG
ODUPIRANJE, IMENICA
PROČEŠLJAN, PRIDJEV
ULUBLJENJE, IMENICA
DEBRECINKA, IMENICA
ŽELATINSKI, PRIDJEV
OSVJEŽIVŠI, PRILOG
POČEŠLJATI, GLAGOL
ŽUČLJIVIJI, PRIDJEV
PODUZIMATI, GLAGOL
TIPKOVNICA, IMENICA
HIPOKSIČAN, PRIDJEV
REKURZIVNI, PRIDJEV
RASPREGNUT, PRIDJEV
NAOŠTRIVŠI, PRILOG
KOMUNALIJE, IMENICA
UOČAVATELJ, IMENICA
KUVAJĆANIN, IMENICA
BJEŽANJITI, PRIDJEV
PRIJATNIJI, PRIDJEV
CIRKULATOR, IMENICA
EMIGRACIJA, IMENICA
SUBMUKOZNI, PRIDJEV
NACIFRAVŠI, PRILOG
DJELATNOST, IMENICA
NAJLIČNIJI, PRIDJEV
KANTONALAN, PRIDJEV
SPALJIVOST, IMENICA
ODSTUPANJE, IMENICA
VIŠESTRUKO, PRILOG
PREUREDITI, GLAGOL
PODSTANICA, IMENICA
ANODIZIRAN, PRIDJEV
PRIVREDNIK, IMENICA
KONZULTANT, IMENICA
IZLOKANIJI, PRIDJEV
ČEHOSLOVAK, IMENICA
OBMOTAVATI, IMENICA
DESETSATNI, PRIDJEV
HRANILIŠTE, IMENICA
OVULATORNI, PRIDJEV
DIFUZIJSKI, PRIDJEV
EUFONIJSKI, PRIDJEV
CENTARHALF, IMENICA
ZAVRISKATI, GLAGOL
ATRIBUIRAN, PRIDJEV
KREPOSNOST, IMENICA
POSINKOVIĆ, IMENICA
ANOREKSICI, IMENICA
INTERGIRAN, PRIDJEV
DEVASTIRAO, PRIDJEV
SLAVISTIKA, IMENICA
RAZDIJELNI, PRIDJEV
JEČMENIŠTE, IMENICA
METASTAZNI, PRIDJEV
ČUDOVITOST, IMENICA
NESKRATIVI, PRIDJEV
MUŠIČAVIJI, PRIDJEV
NAIMENOVAN, PRIDJEV
NAJČASNIJI, PRIDJEV
PROTICANJE, IMENICA
SPRAVLJATI, GLAGOL
PRITISKATI, GLAGOL
DERANZIRAN, PRIDJEV
PROČITANJE, IMENICA
PREDSTRUJA, IMENICA
BREZJANSKI, PRIDJEV
SUUČESNICA, IMENICA
POSTELJICA, IMENICA
NETJELESNO, PRILOG
ZATELEBANO, PRILOG
DJEDINSTVO, IMENICA
IZBUBNJATI, GLAGOL
PRESUDNIJI, PRIDJEV
ŽIVOTARITI, GLAGOL
JAVOROVINA, IMENICA
ODSIJEVATI, GLAGOL
PTOLEMEJEV, PRIDJEV
BRIZGAJUĆI, PRILOG
DODIRNUVŠI, PRILOG
PROŽDIRATI, GLAGOL
OTVORENOST, IMENICA
DOTURAJUĆI, PRILOG
PRIZEMNICA, IMENICA
NADZORNJAK, IMENICA
STAVLJANJE, IMENICA
RESTITUCIJ, IMENICA
KONVENCIJA, IMENICA
FAKINARIJA, IMENICA
DJETINSTVO, IMENICA
ASOCIRANJE, IMENICA
NABUBRIVŠI, PRILOG
NECJENOVNI, PRIDJEV
ZAPRAŠENJE, IMENICA
PRENAPADAN, PRIDJEV
RUSTIKALAN, PRIDJEV
BLIJEŠTATI, GLAGOL
MEDIČARSKI, PRIDJEV
DOSUDITELJ, IMENICA
SIJEVAJUĆI, PRIDJEV
OTKINUTIJI, PRIDJEV
RAZARAJUĆI, PRIDJEV
ZANESENIJI, PRIDJEV
FRIGIDNIJI, PRIDJEV
ANGULACIJA, IMENICA
SPAVAONICA, IMENICA
STRIČEVSKI, IMENICA
FAKSIMILNI, PRIDJEV
NEZNABOŽAC, IMENICA
KLATRINSKI, PRIDJEV
NATKRILITI, GLAGOL
IZRASTANJE, IMENICA
PRIDOBIVŠI, PRILOG
SUDIONIKOV, PRIDJEV
ODCIJEPITI, GLAGOL
ZABIJAJUĆI, PRIDJEV
ZASTRANJEN, PRIDJEV
KOKSAVIRUS, IMENICA
TANKOĆUTAN, PRIDJEV
INVENTARNI, PRIDJEV
SORTIRANJE, IMENICA
PRITVORICA, IMENICA
DORAĐIVATI, GLAGOL
TROGIRANIN, IMENICA
RASTRUBITI, GLAGOL
RETINIRANI, PRIDJEV
VIJEĆNIČKI, PRIDJEV
ZAGRABLJEN, PRIDJEV
SUPREZANJE, IMENICA
ISPISUJUĆI, PRILOG
METILAKTAT, IMENICA
EINSTEINIJ, IMENICA
RASISTIČKI, PRIDJEV
PREMJERATI, GLAGOL
LICITARSKI, PRIDJEV
DIJANETIKA, IMENICA
SUZAKUPNIK, IMENICA
HUGENOTSKI, PRIDJEV
ELEKTROVOD, IMENICA
TJESKOBNIK, IMENICA
NAZNAČIVŠI, PRILOG
NEUSILJENO, PRILOG
FIMBRIJSKI, PRIDJEV
DOSTUPNOST, IMENICA
HIDRATIRAN, PRIDJEV
ZASTIRANJE, IMENICA
VARIJACIJA, IMENICA
NAJRODNIJI, PRIDJEV
OKRETAJNIK, IMENICA
PODJARIVŠI, PRILOG
NEBRIJANJE, IMENICA
ZABRAVIVŠI, PRILOG
HIBERNIRAN, PRIDJEV
BRABANTSKI, PRIDJEV
ZGRIJEŠITI, GLAGOL
STAFILOKOK, IMENICA
SMUĆIVANJE, IMENICA
SMJEŠTANJE, IMENICA
SPECIFIČAN, PRIDJEV
REKETARSKI, PRIDJEV
REVIDIRANO, PRILOG
SVILOGOJAC, IMENICA
FULIRAJUĆI, PRIDJEV
POVEĆAVATI, GLAGOL
PARNIČENJE, IMENICA
LISTSERVER, IMENICA
NEUZDIGNUT, PRIDJEV
KRIVOKLJUN, PRIDJEV
DRVOREZBAR, IMENICA
ZANIMLJIVO, PRILOG
BOGOUGODNO, PRILOG
UPLATITELJ, IMENICA
DOKOPAJUĆI, PRIDJEV
CETINJANIN, IMENICA
IZOTROPIJA, IMENICA
VJEŽBAJUĆI, PRILOG
PIEZOMETAR, IMENICA
INHALACIJA, IMENICA
SIMETRIČNI, PRIDJEV
ŠURJAKINJA, IMENICA
USPINJANJE, IMENICA
DEPANDANSA, IMENICA
GNJURAJUĆI, GLAGOL
BEZVJERNIK, IMENICA
ISKRENUVŠI, PRILOG
ZALAHORITI, GLAGOL
BOJAŽLJIVO, PRILOG
BOLESNIČKI, PRIDJEV
RECIPROČAN, PRIDJEV
MEDICINSKI, PRIDJEV
ISKUŠANIJI, PRIDJEV
INERTIRATI, GLAGOL
SUSNJEŽICA, IMENICA
OLAJAVANJE, IMENICA
PELETIRANI, PRIDJEV
PALIMPSEST, IMENICA
REZISTIVAN, PRIDJEV
ODLJUĆENJE, IMENICA
IZNURENOST, IMENICA
ODGOVORENI, PRIDJEV
SAVREMENIK, IMENICA
ZAŽARENOST, IMENICA
PROKLITIKA, IMENICA
ODREDIVOST, IMENICA
UČAHURENJE, IMENICA
NEPAŽLJIVO, PRILOG
PATOLOGIJA, IMENICA
SVIJETLITI, GLAGOL
MELODIOZAN, PRIDJEV
UPOZORIVŠI, PRILOG
TROGODIŠTE, IMENICA
REGULACIJA, IMENICA
VIŠEKRATAN, PRIDJEV
MEDVJEDICA, IMENICA
IMENJACITI, GLAGOL
LUMBALNUTI, GLAGOL
URŠULINSKI, PRIDJEV
SKRBNIŠTVO, IMENICA
ZVONARNICA, IMENICA
ZAMIŠLJATI, GLAGOL
PAHULJANJE, IMENICA
PREDOBRANA, IMENICA
BIOPOLIMER, IMENICA
HRASTOVSKI, PRIDJEV
PRESIGURAN, PRIDJEV
PRIBRANSKI, PRIDJEV
JEDNOŽILAN, PRIDJEV
NEPODRUPRT, PRIDJEV
RAZVLAŠTEN, PRIDJEV
ENKRIPCIJA, IMENICA
SIMULACIJE, IMENICA
MOLEKULSKI, PRIDJEV
SLOBODNJAK, IMENICA
KOHERENTAN, PRIDJEV
KULTIVIRAN, PRIDJEV
DOGURKIVAN, PRIDJEV
PROMOZGATI, GLAGOL
PERKINSOZA, IMENICA
NALJEPNICA, IMENICA
BAROKOMORA, IMENICA
POTOLINSKI, PRIDJEV
ASPIRACIJA, IMENICA
APELACIONI, IMENICA
DIRLJIVIJI, PRIDJEV
NEJEDNOLIK, PRIDJEV
IZDVOJENJE, IMENICA
IZGIBAJUĆI, PRIDJEV
ZATISKIVAN, PRIDJEV
ODZRAČNOST, IMENICA
DJEVOJČINA, IMENICA
PODUPIRATI, GLAGOL
PODVRGNUTI, PRIDJEV
NEUREDNIJI, PRIDJEV
IZNIJETITI, PRIDJEV
RINOLALIJA, IMENICA
PELETIRATI, IMENICA
DVORAVNINA, IMENICA
IZOLIRAVŠI, PRILOG
